,sample_id,pdb_id,protein_path,ligand_path
0,2lbv,2lbv,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/2lbv/2lbv_protein_processed.pdb,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/2lbv/2lbv_ligand.sdf
1,1lt6,1lt6,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/1lt6/1lt6_protein_processed.pdb,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/1lt6/1lt6_ligand.sdf
2,4eoh,4eoh,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/4eoh/4eoh_protein_processed.pdb,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/4eoh/4eoh_ligand.sdf
3,3zc5,3zc5,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/3zc5/3zc5_protein_processed.pdb,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/3zc5/3zc5_ligand.sdf
4,6hqy,6hqy,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/6hqy/6hqy_protein_processed.pdb,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/6hqy/6hqy_ligand.sdf
5,1utl,1utl,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/1utl/1utl_protein_processed.pdb,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/1utl/1utl_ligand.sdf
6,4lwi,4lwi,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/4lwi/4lwi_protein_processed.pdb,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/4lwi/4lwi_ligand.sdf
7,3t4p,3t4p,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/3t4p/3t4p_protein_processed.pdb,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/3t4p/3t4p_ligand.sdf
8,6oyz,6oyz,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/6oyz/6oyz_protein_processed.pdb,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/6oyz/6oyz_ligand.sdf
9,5y13,5y13,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/5y13/5y13_protein_processed.pdb,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/5y13/5y13_ligand.sdf
10,4i11,4i11,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/4i11/4i11_protein_processed.pdb,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/4i11/4i11_ligand.sdf
11,5i2e,5i2e,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/5i2e/5i2e_protein_processed.pdb,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/5i2e/5i2e_ligand.sdf
12,6n0q,6n0q,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/6n0q/6n0q_protein_processed.pdb,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/6n0q/6n0q_ligand.sdf
13,2vvo,2vvo,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/2vvo/2vvo_protein_processed.pdb,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/2vvo/2vvo_ligand.sdf
14,4tk1,4tk1,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/4tk1/4tk1_protein_processed.pdb,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/4tk1/4tk1_ligand.sdf
15,1p1n,1p1n,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/1p1n/1p1n_protein_processed.pdb,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/1p1n/1p1n_ligand.sdf
16,5l2w,5l2w,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/5l2w/5l2w_protein_processed.pdb,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/5l2w/5l2w_ligand.sdf
17,2yay,2yay,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/2yay/2yay_protein_processed.pdb,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/2yay/2yay_ligand.sdf
18,2y7i,2y7i,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/2y7i/2y7i_protein_processed.pdb,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/2y7i/2y7i_ligand.sdf
19,1i7g,1i7g,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/1i7g/1i7g_protein_processed.pdb,/storage/home/hhive1/awallace43/data/share/PDBBind_processed/1i7g/1i7g_ligand.sdf
