,sample_id,pdb_id,protein_path,ligand_path
0,3fu0,3fu0,/storage/ice1/7/3/awallace43/PDBBind_processed/3fu0/3fu0_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/3fu0/3fu0_ligand.sdf
1,4y0a,4y0a,/storage/ice1/7/3/awallace43/PDBBind_processed/4y0a/4y0a_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/4y0a/4y0a_ligand.sdf
2,1bnv,1bnv,/storage/ice1/7/3/awallace43/PDBBind_processed/1bnv/1bnv_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/1bnv/1bnv_ligand.sdf
3,4iie,4iie,/storage/ice1/7/3/awallace43/PDBBind_processed/4iie/4iie_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/4iie/4iie_ligand.sdf
4,5jn8,5jn8,/storage/ice1/7/3/awallace43/PDBBind_processed/5jn8/5jn8_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/5jn8/5jn8_ligand.sdf
5,5t4h,5t4h,/storage/ice1/7/3/awallace43/PDBBind_processed/5t4h/5t4h_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/5t4h/5t4h_ligand.sdf
6,4odp,4odp,/storage/ice1/7/3/awallace43/PDBBind_processed/4odp/4odp_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/4odp/4odp_ligand.sdf
7,3h91,3h91,/storage/ice1/7/3/awallace43/PDBBind_processed/3h91/3h91_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/3h91/3h91_ligand.sdf
8,5j7g,5j7g,/storage/ice1/7/3/awallace43/PDBBind_processed/5j7g/5j7g_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/5j7g/5j7g_ligand.sdf
9,3r0t,3r0t,/storage/ice1/7/3/awallace43/PDBBind_processed/3r0t/3r0t_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/3r0t/3r0t_ligand.sdf
10,1ni1,1ni1,/storage/ice1/7/3/awallace43/PDBBind_processed/1ni1/1ni1_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/1ni1/1ni1_ligand.sdf
11,2e9n,2e9n,/storage/ice1/7/3/awallace43/PDBBind_processed/2e9n/2e9n_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/2e9n/2e9n_ligand.sdf
12,2fxv,2fxv,/storage/ice1/7/3/awallace43/PDBBind_processed/2fxv/2fxv_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/2fxv/2fxv_ligand.sdf
13,6h7z,6h7z,/storage/ice1/7/3/awallace43/PDBBind_processed/6h7z/6h7z_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/6h7z/6h7z_ligand.sdf
14,5orl,5orl,/storage/ice1/7/3/awallace43/PDBBind_processed/5orl/5orl_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/5orl/5orl_ligand.sdf
15,2e9o,2e9o,/storage/ice1/7/3/awallace43/PDBBind_processed/2e9o/2e9o_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/2e9o/2e9o_ligand.sdf
16,5w4r,5w4r,/storage/ice1/7/3/awallace43/PDBBind_processed/5w4r/5w4r_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/5w4r/5w4r_ligand.sdf
17,5csx,5csx,/storage/ice1/7/3/awallace43/PDBBind_processed/5csx/5csx_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/5csx/5csx_ligand.sdf
18,6bfn,6bfn,/storage/ice1/7/3/awallace43/PDBBind_processed/6bfn/6bfn_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/6bfn/6bfn_ligand.sdf
19,4fck,4fck,/storage/ice1/7/3/awallace43/PDBBind_processed/4fck/4fck_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/4fck/4fck_ligand.sdf
20,5e2k,5e2k,/storage/ice1/7/3/awallace43/PDBBind_processed/5e2k/5e2k_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/5e2k/5e2k_ligand.sdf
21,3n35,3n35,/storage/ice1/7/3/awallace43/PDBBind_processed/3n35/3n35_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/3n35/3n35_ligand.sdf
22,3ad8,3ad8,/storage/ice1/7/3/awallace43/PDBBind_processed/3ad8/3ad8_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/3ad8/3ad8_ligand.sdf
23,5akh,5akh,/storage/ice1/7/3/awallace43/PDBBind_processed/5akh/5akh_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/5akh/5akh_ligand.sdf
24,3jqb,3jqb,/storage/ice1/7/3/awallace43/PDBBind_processed/3jqb/3jqb_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/3jqb/3jqb_ligand.sdf
25,2uze,2uze,/storage/ice1/7/3/awallace43/PDBBind_processed/2uze/2uze_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/2uze/2uze_ligand.sdf
26,1soj,1soj,/storage/ice1/7/3/awallace43/PDBBind_processed/1soj/1soj_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/1soj/1soj_ligand.sdf
27,2r3p,2r3p,/storage/ice1/7/3/awallace43/PDBBind_processed/2r3p/2r3p_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/2r3p/2r3p_ligand.sdf
28,4urv,4urv,/storage/ice1/7/3/awallace43/PDBBind_processed/4urv/4urv_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/4urv/4urv_ligand.sdf
29,6jn4,6jn4,/storage/ice1/7/3/awallace43/PDBBind_processed/6jn4/6jn4_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/6jn4/6jn4_ligand.sdf
30,4i7f,4i7f,/storage/ice1/7/3/awallace43/PDBBind_processed/4i7f/4i7f_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/4i7f/4i7f_ligand.sdf
31,5ee8,5ee8,/storage/ice1/7/3/awallace43/PDBBind_processed/5ee8/5ee8_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/5ee8/5ee8_ligand.sdf
32,3v1r,3v1r,/storage/ice1/7/3/awallace43/PDBBind_processed/3v1r/3v1r_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/3v1r/3v1r_ligand.sdf
33,6d4r,6d4r,/storage/ice1/7/3/awallace43/PDBBind_processed/6d4r/6d4r_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/6d4r/6d4r_ligand.sdf
34,6d17,6d17,/storage/ice1/7/3/awallace43/PDBBind_processed/6d17/6d17_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/6d17/6d17_ligand.sdf
35,6ghj,6ghj,/storage/ice1/7/3/awallace43/PDBBind_processed/6ghj/6ghj_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/6ghj/6ghj_ligand.sdf
36,5i38,5i38,/storage/ice1/7/3/awallace43/PDBBind_processed/5i38/5i38_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/5i38/5i38_ligand.sdf
37,4bjb,4bjb,/storage/ice1/7/3/awallace43/PDBBind_processed/4bjb/4bjb_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/4bjb/4bjb_ligand.sdf
38,5u00,5u00,/storage/ice1/7/3/awallace43/PDBBind_processed/5u00/5u00_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/5u00/5u00_ligand.sdf
39,6qau,6qau,/storage/ice1/7/3/awallace43/PDBBind_processed/6qau/6qau_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/6qau/6qau_ligand.sdf
40,5cc2,5cc2,/storage/ice1/7/3/awallace43/PDBBind_processed/5cc2/5cc2_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/5cc2/5cc2_ligand.sdf
41,2lko,2lko,/storage/ice1/7/3/awallace43/PDBBind_processed/2lko/2lko_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/2lko/2lko_ligand.sdf
42,6iiu,6iiu,/storage/ice1/7/3/awallace43/PDBBind_processed/6iiu/6iiu_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/6iiu/6iiu_ligand.sdf
43,6edl,6edl,/storage/ice1/7/3/awallace43/PDBBind_processed/6edl/6edl_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/6edl/6edl_ligand.sdf
44,3gqz,3gqz,/storage/ice1/7/3/awallace43/PDBBind_processed/3gqz/3gqz_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/3gqz/3gqz_ligand.sdf
45,4gzw,4gzw,/storage/ice1/7/3/awallace43/PDBBind_processed/4gzw/4gzw_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/4gzw/4gzw_ligand.sdf
46,3osw,3osw,/storage/ice1/7/3/awallace43/PDBBind_processed/3osw/3osw_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/3osw/3osw_ligand.sdf
47,2hnc,2hnc,/storage/ice1/7/3/awallace43/PDBBind_processed/2hnc/2hnc_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/2hnc/2hnc_ligand.sdf
48,1b0f,1b0f,/storage/ice1/7/3/awallace43/PDBBind_processed/1b0f/1b0f_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/1b0f/1b0f_ligand.sdf
49,1pau,1pau,/storage/ice1/7/3/awallace43/PDBBind_processed/1pau/1pau_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/1pau/1pau_ligand.sdf
50,4xip,4xip,/storage/ice1/7/3/awallace43/PDBBind_processed/4xip/4xip_protein_processed.pdb,/storage/ice1/7/3/awallace43/PDBBind_processed/4xip/4xip_ligand.sdf
